SSF	PF	Liaising	InData
DET{ArtInd}, N{origine.g=F num=PL}*	[dezoʁiʒin]	1	1
DET{ArtInd}, N{origine.g=F num=PL}*	[deoʁiʒin]	0	0
DET{ArtInd}, N{ordinateur.g=M num=SG}*	[3nɔʁdinatœʁ]	1	1
DET{ArtInd}, N{ordinateur.g=M num=SG}*	[3ɔʁdinatœʁ]	0	1
DET{PossM}, N{oncle.g=M num=SG}*	[mQnQkl]	1	1
DET{PossM}, N{oncle.g=M num=SG}*	[mQQkl]	0	0
DET{ArtDef}, N{art.g=M num=PL}*	[lezaʁ]	1	1
DET{ArtDef}, N{art.g=M num=PL}*	[leaʁ]	0	1
DET{ArtDef}, N{oeil.g=M num=PL}*	[lezjø]	1	1
DET{ArtDef}, N{oeil.g=M num=PL}*	[lejø]	0	0
DET{ArtDef}, N{habitude.g=F num=PL}*	[lezabityd]	1	1
DET{ArtDef}, N{habitude.g=F num=PL}*	[leabityd]	0	0
DET{ArtInd}, N{exercice.g=M num=SG}*	[3nɛgzɛʁsis]	1	1
DET{ArtInd}, N{exercice.g=M num=SG}*	[3ɛgzɛʁsis]	0	0
ADJ{faux}, N{idée.g=F num=PL}*	[fozide]	1	1
ADJ{faux}, N{idée.g=F num=PL}*	[foide]	0	0
NUM{deux}, N{enfant.g=M num=PL}*	[døz&f&]	1	1
NUM{deux}, N{enfant.g=M num=PL}*	[dø&f&]	0	0
DET{PossL}, N{économie.g=F num=PL}*	[lœʁzekonomi]	1	1
DET{PossL}, N{économie.g=F num=PL}*	[lœʁekonomi]	0	0
DET{ArtInd}, N{endroit.g=M num=SG}*	[3n&dʁwa]	1	1
DET{ArtInd}, N{endroit.g=M num=SG}*	[3&dʁwa]	0	1
ADJ{bon}, N{exemple.g=M num=SG}*	[bQnɛgz&pl]	1	1
ADJ{bon}, N{exemple.g=M num=SG}*	[bQɛgz&pl]	0	0
DET{ArtInd}, N{accent.g=M num=SG}*	[3naks&]	1	1
DET{ArtInd}, N{accent.g=M num=SG}*	[3aks&]	0	1
DET{ArtInd}, N{erreur.g=F num=PL}*	[dezɛʁœʁ]	1	1
DET{ArtInd}, N{erreur.g=F num=PL}*	[deɛʁœʁ]	0	0
DET{ArtInd}, N{enfant.g=M num=PL}*	[dez&f&]	1	1
DET{ArtInd}, N{enfant.g=M num=PL}*	[de&f&]	0	1
DET{ArtInd}, N{appartement.g=M num=PL}*	[dezapaʁtœm&]	1	1
DET{ArtInd}, N{appartement.g=M num=PL}*	[deapaʁtœm&]	0	0
DET{PossM}, N{accent.g=M num=SG}*	[mQnaks&]	1	1
DET{PossM}, N{accent.g=M num=SG}*	[mQaks&]	0	0
DET{ArtDef}, N{oiseau.g=M num=PL}*	[lezwazo]	1	1
DET{ArtDef}, N{oiseau.g=M num=PL}*	[lewazo]	0	0
ADJ{premier}, N{objectif.g=M num=SG}*	[pʁømjeʁɔbʒɛktif]	1	1
ADJ{premier}, N{objectif.g=M num=SG}*	[pʁømjeɔbʒɛktif]	0	0
NUM{cents}, N{habitant.g=M num=PL}*	[s&zabit&]	1	1
NUM{cents}, N{habitant.g=M num=PL}*	[s&abit&]	0	1
DET{ArtDef}, N{immeuble.g=M num=PL}*	[lezimœbl]	1	1
DET{ArtDef}, N{immeuble.g=M num=PL}*	[leimœbl]	0	0
DET{ArtInd}, N{ami.g=M num=SG}*	[3nami]	1	1
DET{ArtInd}, N{ami.g=M num=SG}*	[3ami]	0	0
DET{ArtInd}, N{invitation.g=F num=PL}*	[dez3vitasjQ]	1	1
DET{ArtInd}, N{invitation.g=F num=PL}*	[de3vitasjQ]	0	0
DET{ArtInd}, N{habitude.g=F num=PL}*	[dezabityd]	1	1
DET{ArtInd}, N{habitude.g=F num=PL}*	[deabityd]	0	0
DET{ArtInd}, N{équipe.g=F num=PL}*	[dezekip]	1	1
DET{ArtInd}, N{équipe.g=F num=PL}*	[deekip]	0	0
NUM{trois}, N{heure.g=F num=PL}*	[tʁwazœʁ]	1	1
NUM{trois}, N{heure.g=F num=PL}*	[tʁwaœʁ]	0	1
NUM{dix}, N{heure.g=F num=PL}*	[dizœʁ]	1	1
NUM{dix}, N{heure.g=F num=PL}*	[diœʁ]	0	0
ADJ{dernier}, N{année.g=F num=PL}*	[dɛʁnjɛʁzane]	1	1
ADJ{dernier}, N{année.g=F num=PL}*	[dɛʁnjɛʁane]	0	0
ADJ{grand}, N{honneur.g=M num=SG}*	[gʁ&donœʁ]	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	[gʁ&tonœʁ]	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	[gʁ&onœʁ]	0	0
NUM{deux}, N{année.g=F num=PL}*	[døzane]	1	1
NUM{deux}, N{année.g=F num=PL}*	[døane]	0	0
DET{ArtInd}, N{ordre.g=M num=SG}*	[3nɔʁdʁ]	1	1
DET{ArtInd}, N{ordre.g=M num=SG}*	[3ɔʁdʁ]	0	0
DET{PossS}, N{oiseau.g=M num=PL}*	[sezwazo]	1	1
DET{PossS}, N{oiseau.g=M num=PL}*	[sewazo]	0	0
DET{ArtInd}, N{automatisme.g=M num=PL}*	[dezotomatizm]	1	1
DET{ArtInd}, N{automatisme.g=M num=PL}*	[deotomatizm]	0	0
DET{ArtInd}, N{appel.g=M num=SG}*	[3napɛl]	1	1
DET{ArtInd}, N{appel.g=M num=SG}*	[3apɛl]	0	0
DET{ArtInd}, N{année.g=F num=PL}*	[dezane]	1	1
DET{ArtInd}, N{année.g=F num=PL}*	[deane]	0	1
DET{ArtInd}, N{homme.g=M num=PL}*	[dezɔm]	1	1
DET{ArtInd}, N{homme.g=M num=PL}*	[deɔm]	0	1
DET{PossT}, N{entrée.g=F num=SG}*	[tQn&tʁe]	1	1
DET{PossT}, N{entrée.g=F num=SG}*	[tQ&tʁe]	0	0
DET{PossS}, N{imprimante.g=F num=SG}*	[sQn3pʁim&t]	1	1
DET{PossS}, N{imprimante.g=F num=SG}*	[sQ3pʁim&t]	0	0
DET{ArtDef}, N{industrie.g=F num=PL}*	[lez3dystʁi]	1	1
DET{ArtDef}, N{industrie.g=F num=PL}*	[le3dystʁi]	0	0
DET{Dem}, N{amicale.g=F num=PL}*	[sezamikal]	1	1
DET{Dem}, N{amicale.g=F num=PL}*	[seamikal]	0	0
DET{ArtInd}, N{activité.g=F num=PL}*	[dezaktivite]	1	1
DET{ArtInd}, N{activité.g=F num=PL}*	[deaktivite]	0	0
DET{ArtDef}, N{étude.g=F num=PL}*	[lezetyd]	1	1
DET{ArtDef}, N{étude.g=F num=PL}*	[leetyd]	0	1
ADJ{petit}, N{ami.g=F num=PL}*	[pœtitzami]	1	1
ADJ{petit}, N{ami.g=F num=PL}*	[pœtitami]	0	0
NUM{vingt-cinq}, N{an.g=M num=PL}*	[v3ts3kt&]	1	1
NUM{vingt-cinq}, N{an.g=M num=PL}*	[v3ts3k&]	0	1
DET{ArtInd}, N{appart.g=M num=SG}*	[3napaʁt]	1	1
DET{ArtInd}, N{appart.g=M num=SG}*	[3apaʁt]	0	1
DET{ArtInd}, N{esquimau.g=M num=PL}*	[dezɛskimo]	1	1
DET{ArtInd}, N{esquimau.g=M num=PL}*	[deɛskimo]	0	0
NUM{deux}, N{étage.g=M num=PL}*	[døzetaʒ]	1	1
NUM{deux}, N{étage.g=M num=PL}*	[døetaʒ]	0	0
DET{ArtDef}, N{animal.g=M num=PL}*	[lezanimo]	1	1
DET{ArtDef}, N{animal.g=M num=PL}*	[leanimo]	0	1
NUM{dix-huit}, N{habitant.g=M num=PL}*	[dizɥitabit&]	1	1
NUM{dix-huit}, N{habitant.g=M num=PL}*	[dizɥiabit&]	0	0
DET{ArtDef}, N{information.g=F num=PL}*	[lez3fɔʁmasjQ]	1	1
DET{ArtDef}, N{information.g=F num=PL}*	[le3fɔʁmasjQ]	0	0
DET{ArtInd}, N{an.g=M num=SG}*	[3n&]	1	1
DET{ArtInd}, N{an.g=M num=SG}*	[3&]	0	1
ADJ{tout}, N{âge.g=M num=SG}*	[tutaʒ]	1	1
ADJ{tout}, N{âge.g=M num=SG}*	[tuaʒ]	0	0
