W1	W2	P1	P2	Liaison	Nasalization	Linking consonant	Phonetic realization	Frequency	SSF1	SSF2
états	unis	N	ADJ	TRUE	FALSE	z-	etazyni	3	N{State.g=M num=PL}*	ADJ{United}
mon	accent	DET	NC	TRUE	FALSE	n	mɔnaksɑ̃	1	DET{My}	N{Accent.g=M num=SG}*
des	accidents	DET	NC	TRUE	FALSE	z	dezaksidɑ̃	1	DET{Ind}	N{Accident.g=M num=PL}*
les	actions	DET	NC	TRUE	FALSE	z	lezaksjɔ̃	3	DET{The}	N{Action.g=F num=PL}*
des	activistes	DET	NC	TRUE	FALSE	z	dezaktivist	13	DET{Ind}	N{Activist.g=M num=PL}*
les	activistes	DET	NC	TRUE	FALSE	z	lezaktivist	1	DET{The}	N{Activist.g=M num=PL}*
des	activités	DET	NC	TRUE	FALSE	z	dezaktivite	2	DET{Ind}	N{Activity.g=F num=PL}*
mes	activités	DET	NC	TRUE	FALSE	z	mezaktivite	1	DET{My}	N{Activity.g=F num=PL}*
les	adresses	DET	NC	TRUE	FALSE	z	lezadʁɛs	1	DET{The}	N{Address.g=F num=PL}*
son	adjoint	DET	NC	TRUE	TRUE	nVN	sɔ̃nadʒwɛ̃	1	DET{His}	N{Adjunct.g=M num=SG}*
mes	âges	DET	NC	TRUE	FALSE	z	mezaʒ	1	DET{My}	N{Age.g=M num=PL}*
mon	âge	DET	NC	FALSE	FALSE		mɔ̃aʒ	2	DET{My}	N{Age.g=M num=SG}*
tout	âge	DET	NC	TRUE	FALSE	t	tutaʒ	1	DET{All}	N{Age.g=M num=SG}*
votre	âge	DET	NC	FALSE	FALSE		vɔtʁaʒ	3	DET{Your}	N{Age.g=M num=SG}*
grand	émoi	ADJ	NC	TRUE	FALSE	t	ɡʁɑ̃temwa	17	ADJ{Big}	N{Agitation.g=M num=SG}*
grand	émoi	ADJ	NC	FALSE	FALSE		ɡʁɑ̃emwa	4	ADJ{Big}	N{Agitation.g=M num=SG}*
grand	émoi	ADJ	NC	TRUE	FALSE	h	ɡʁɑ̃hemwa	1	ADJ{Big}	N{Agitation.g=M num=SG}*
des	amateurs	DET	NC	TRUE	FALSE	z	dezamatœʁ	1	DET{Ind}	N{Amateur.g=M num=PL}*
les	amateurs	DET	NC	TRUE	FALSE	z	lezamatœʁ	1	DET{The}	N{Amateur.g=M num=PL}*
les	américains	DET	NC	FALSE	FALSE		leameʁikɛ̃	2	DET{The}	N{American.g=M num=PL}*
les	américains	DET	NC	TRUE	FALSE	z	lezameʁikɛ̃	1	DET{The}	N{American.g=M num=PL}*
leur	colère	DET	NC	FALSE	FALSE		lœʁkɔlɛʁ	19	DET{Their}	N{Anger.g=F num=SG}*
les	animaux	DET	NC	TRUE	FALSE	z	lezanimo	2	DET{The}	N{Animal.g=M num=PL}*
un	appartement	DET	NC	TRUE	TRUE	nVN	ɛ̃napaʁtəmɑ̃	3	DET{Ind}	N{Apartment1.g=M num=SG}*
un	appartement	DET	NC	TRUE	FALSE	n	ɛ̃napaʁtəmɑ̃	2	DET{Ind}	N{Apartment1.g=M num=SG}*
un	appart	DET	NC	TRUE	TRUE	nVN	ɛ̃napaʁ	1	DET{Ind}	N{Apartment2.g=M num=SG}*
un	appel	DET	NC	TRUE	TRUE	nVN	ɛ̃napɛl	1	DET{Ind}	N{Appeal.g=M num=SG}*
les	articles	DET	NC	TRUE	FALSE	z	lezaʁtikl	1	DET{The}	N{Article.g=M num=PL}*
quelques	articles	DET	NC	TRUE	FALSE	z	kɛlkzaʁtikl	1	DET{Some}	N{Article.g=M num=PL}*
un	aspect	DET	NC	TRUE	FALSE	n	ɛ̃naspɛ	1	DET{Ind}	N{Aspect.g=M num=SG}*
une	association	DET	NC	FALSE	FALSE		ynasɔsjasjɔ̃	2	DET{Ind}	N{Association.g=F num=SG}*
son	autorité	DET	NC	TRUE	TRUE	nVN	sɔ̃nɔtɔʁite	1	DET{His}	N{Authority.g=M num=SG}*
des	automatismes	DET	NC	TRUE	FALSE	z	dezɔtɔmatism	1	DET{Ind}	N{Automatism.g=M num=PL}*
les	automatismes	DET	NC	TRUE	FALSE	z	lezɔtɔmatism	1	DET{The}	N{Automatism.g=M num=PL}*
les	aveyronnais	DET	NC	FALSE	FALSE		leaveʁɔnɛ	3	DET{The}	N{Aveyron.g=M num=PL}*
ton	aveyron	DET	NPP	TRUE	FALSE	n	tɔnaveʁɔ̃	1	DET{Thy}	N{Aveyron.g=M num=SG}*
